frame,timestamp,anchor_to_top_lip_top,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
358,11.934111255975662,69.1466152134791,Open,Closed,Closed,Closed,Closed
359,11.96744676227727,72.33097914743317,Open,Closed,Closed,Closed,Closed
360,12.000782268578876,71.43719016403008,Open,Closed,Closed,Closed,Closed
361,12.034117774880489,74.65267389407282,Open,Open,Closed,Closed,Closed
362,12.067453281182097,71.75433594071893,Open,Closed,Closed,Closed,Closed
363,12.100788787483705,76.58348147511549,Open,Open,Closed,Closed,Closed
364,12.13412429378531,76.13675449843916,Open,Open,Closed,Closed,Closed
365,12.16745980008692,74.5663350826623,Open,Open,Closed,Closed,Closed
366,12.200795306388526,70.61131257697079,Open,Closed,Closed,Closed,Closed
367,12.234130812690134,63.9728518437679,Closed,Closed,Closed,Closed,Closed
